6023	10.179.23.182	nv6-E3-v8-138	7.4.2	0	1	6	3	3
6023	10.179.23.183	nv6-F1-v8-138	7.4.2	0	0	3	2	1
6023	10.179.23.185	nv6-C3-v8-138	7.4.2	0	0	2	2	0
6023	10.179.23.186	nv6-D3-v8-138	7.4.2	0	0	9	3	6
6023	10.179.23.187	nv6-D1-v8-138	7.4.2	0	0	9	3	6
6023	10.179.23.189	nv6-A1-v8-138	7.4.2	0	0	2	1	1
6023	10.179.23.190	nv6-B2-v8-138	7.4.2	0	0	1	1	0
6023	10.179.23.191	nv6-B3-v8-138	7.4.2	0	0	0	0	0
6023	10.179.23.194	nv6-F2-v8-138	7.4.2	0	0	1	1	0
6023	10.179.23.195	nv6-D2-v8-138	7.4.2	0	0	8	3	5
6023	10.179.23.198	nv6-A2-v8-138	7.4.2	0	0	2	1	1
6023	10.179.23.200	nv6-E2-v8-138	7.4.2	0	0	5	3	2
6023	10.179.23.202	nv6-E1-v8-138	7.4.2	0	0	6	3	3
6023	10.179.23.205			0	0	0	0	0
