zabbix_host,train,type,coach,ip,mac,serial,config,firmware
50_4005_MAR3-B1,4005,AP,2,10.179.5.35,,ap1-train-4005,,
50_4005_MAR3-B1,4005,AP,2,10.179.5.36,,ap2-train-4005,,
50_4005_MAR3-B1,4005,AP,2,10.179.5.37,,ap3-train-4005,,
50_4005_MAR3-B1,4005,AP,2,10.179.5.38,,ap4-train-4005,,
50_4005_MAR3-B1,4005,BOX,2,10.179.5.1,,box1-train-4005,,
50_4005_MAR3-B1,4005,SW,2,10.179.5.31,,sw1-train-4005,,
50_4005_MAR3-B1,4005,SW,2,10.179.5.32,,sw2-train-4005,,
50_4005_MAR3-B1,4005,SW,2,10.179.5.33,,sw3-train-4005,,
50_4005_MAR3-B1,4005,AP,3,10.179.5.45,,ap1-train-4005,,
50_4005_MAR3-B1,4005,AP,3,10.179.5.46,,ap2-train-4005,,
50_4005_MAR3-B1,4005,AP,3,10.179.5.47,,ap3-train-4005,,
50_4005_MAR3-B1,4005,AP,3,10.179.5.48,,ap4-train-4005,,
50_4005_MAR3-B1,4005,SW,3,10.179.5.41,,sw1-train-4005,,
50_4005_MAR3-B1,4005,SW,3,10.179.5.42,,sw2-train-4005,,
50_4005_MAR3-B1,4005,SW,3,10.179.5.43,,sw3-train-4005,,
50_4005_MAR3-B1,4005,AP,4,10.179.5.65,,ap1-train-4005,,
50_4005_MAR3-B1,4005,AP,4,10.179.5.66,,ap2-train-4005,,
50_4005_MAR3-B1,4005,AP,4,10.179.5.67,,ap3-train-4005,,
50_4005_MAR3-B1,4005,AP,4,10.179.5.68,,ap4-train-4005,,
50_4005_MAR3-B1,4005,SW,4,10.179.5.61,,sw1-train-4005,,
50_4005_MAR3-B1,4005,SW,4,10.179.5.62,,sw2-train-4005,,
50_4005_MAR3-B1,4005,SW,4,10.179.5.63,,sw3-train-4005,,
50_4014_MAR3-B1,4014,AP,1,10.179.14.15,,ap1-train-4014,,
50_4014_MAR3-B1,4014,AP,1,10.179.14.16,,ap2-train-4014,,
50_4014_MAR3-B1,4014,AP,1,10.179.14.17,,ap3-train-4014,,
50_4014_MAR3-B1,4014,AP,1,10.179.14.18,,ap4-train-4014,,
50_4014_MAR3-B1,4014,SW,1,10.179.14.11,,sw1-train-4014,,
50_4014_MAR3-B1,4014,SW,1,10.179.14.12,,sw2-train-4014,,
50_4014_MAR3-B1,4014,SW,1,10.179.14.13,,sw3-train-4014,,
50_4014_MAR3-B1,4014,AP,2,10.179.14.35,,ap1-train-4014,,
50_4014_MAR3-B1,4014,AP,2,10.179.14.36,,ap2-train-4014,,
50_4014_MAR3-B1,4014,AP,2,10.179.14.37,,ap3-train-4014,,
50_4014_MAR3-B1,4014,AP,2,10.179.14.38,,ap4-train-4014,,
50_4014_MAR3-B1,4014,BOX,2,10.179.14.1,,box1-train-4014,,
50_4014_MAR3-B1,4014,SW,2,10.179.14.31,,sw1-train-4014,,
50_4014_MAR3-B1,4014,SW,2,10.179.14.32,,sw2-train-4014,,
50_4014_MAR3-B1,4014,SW,2,10.179.14.33,,sw3-train-4014,,
50_4014_MAR3-B1,4014,AP,3,10.179.14.45,,ap1-train-4014,,
50_4014_MAR3-B1,4014,AP,3,10.179.14.46,,ap2-train-4014,,
50_4014_MAR3-B1,4014,AP,3,10.179.14.47,,ap3-train-4014,,
50_4014_MAR3-B1,4014,AP,3,10.179.14.48,,ap4-train-4014,,
50_4014_MAR3-B1,4014,SW,3,10.179.14.41,,sw1-train-4014,,
50_4014_MAR3-B1,4014,SW,3,10.179.14.42,,sw2-train-4014,,
50_4014_MAR3-B1,4014,SW,3,10.179.14.43,,sw3-train-4014,,
50_4014_MAR3-B1,4014,AP,4,10.179.14.65,,ap1-train-4014,,
50_4014_MAR3-B1,4014,AP,4,10.179.14.66,,ap2-train-4014,,
50_4014_MAR3-B1,4014,AP,4,10.179.14.67,,ap3-train-4014,,
50_4014_MAR3-B1,4014,AP,4,10.179.14.68,,ap4-train-4014,,
50_4014_MAR3-B1,4014,SW,4,10.179.14.61,,sw1-train-4014,,
50_4014_MAR3-B1,4014,SW,4,10.179.14.62,,sw2-train-4014,,
50_4014_MAR3-B1,4014,SW,4,10.179.14.63,,sw3-train-4014,,
50_4029_MAR3-B1,4029,AP,1,10.179.29.218,00:14:5A:04:62:73,3623-073001-1-05-00000781-2341,AP4-v1,6.10.0-0
50_4029_MAR3-B1,4029,AP,1,10.179.29.220,00:14:5A:04:8A:3E,3623-073001-1-05-00001422-2418,AP3-v1,6.10.0-0
50_4029_MAR3-B1,4029,AP,1,10.179.29.224,00:14:5A:04:8A:56,3623-073001-1-05-00001428-2418,AP2-v1,6.10.0-0
50_4029_MAR3-B1,4029,AP,1,10.179.29.225,00:14:5A:04:6A:DA,3623-073001-1-05-00000913-2343,AP1-v1,6.10.0-0
50_4029_MAR3-B1,4029,SW,1,10.179.29.181,A0:59:3A:D0:3A:80,230468,nv4-A3-v8-008,7.4.2
50_4029_MAR3-B1,4029,SW,1,10.179.29.190,A0:59:3A:D0:40:40,230514,nv4-A1-v8-008,7.4.2
50_4029_MAR3-B1,4029,SW,1,10.179.29.194,A0:59:3A:D0:57:00,240696,nv4-A2-v8-008,7.4.2
50_4029_MAR3-B1,4029,AP,2,10.179.29.222,00:14:5A:04:79:B2,3623-073001-1-05-00001065-2401,AP4-v1,6.10.0-0
50_4029_MAR3-B1,4029,AP,2,10.179.29.223,00:14:5A:04:8E:5E,3623-073001-1-05-00001493-2419,AP3-v1,6.10.0-0
50_4029_MAR3-B1,4029,AP,2,10.179.29.226,00:14:5A:04:8B:E0,3623-073001-1-05-00001464-2419,AP1-v1,6.10.0-0
50_4029_MAR3-B1,4029,AP,2,10.179.29.230,00:14:5A:04:32:1B,3623-073001-1-05-00000249-2245,AP2-v1,6.10.0-0
50_4029_MAR3-B1,4029,BOX,2,10.179.29.1,7C:70:BC:70:D9:9F,box1-t29.dostoneu-nv4.21net.com,2025.2.1 - d79f96d8 - _,6.1.0-31-amd64
50_4029_MAR3-B1,4029,SW,2,10.179.29.185,A0:59:3A:D0:41:E0,230527,nv4-G3-v8-008,7.4.2
50_4029_MAR3-B1,4029,SW,2,10.179.29.191,A0:59:3A:D0:5E:E0,240759,nv4-G1-v8-008,7.4.2
50_4029_MAR3-B1,4029,SW,2,10.179.29.192,A0:59:3A:D0:71:20,240905,nv4-G2-v8-008,7.4.2
50_4029_MAR3-B1,4029,AP,3,,,,,
50_4029_MAR3-B1,4029,AP,3,,,,,
50_4029_MAR3-B1,4029,AP,3,,,,,
50_4029_MAR3-B1,4029,AP,3,,,,,
50_4029_MAR3-B1,4029,SW,3,,,,,
50_4029_MAR3-B1,4029,SW,3,,,,,
50_4029_MAR3-B1,4029,SW,3,,,,,
50_4029_MAR3-B1,4029,AP,4,,,,,
50_4029_MAR3-B1,4029,AP,4,,,,,
50_4029_MAR3-B1,4029,AP,4,,,,,
50_4029_MAR3-B1,4029,AP,4,,,,,
50_4029_MAR3-B1,4029,SW,4,,,,,
50_4029_MAR3-B1,4029,SW,4,,,,,
50_4029_MAR3-B1,4029,SW,4,,,,,
50_4030_MAR3-B1,4030,AP,1,,,,,
50_4030_MAR3-B1,4030,AP,1,,,,,
50_4030_MAR3-B1,4030,AP,1,,,,,
50_4030_MAR3-B1,4030,AP,1,,,,,
50_4030_MAR3-B1,4030,SW,1,,,,,
50_4030_MAR3-B1,4030,SW,1,,,,,
50_4030_MAR3-B1,4030,SW,1,,,,,
50_4030_MAR3-B1,4030,AP,2,,,,,
50_4030_MAR3-B1,4030,AP,2,,,,,
50_4030_MAR3-B1,4030,AP,2,,,,,
50_4030_MAR3-B1,4030,AP,2,,,,,
